DATE,TITLE,ARTIST,,LOCKDOWN,WEEK,TOTALWEEKS,PLAYS
5/4/20,12.38 by Childish Gambino,Childish Gambino,12.38,1,1,1,3
5/4/20,19.1 by Childish Gambino,Childish Gambino,19.1,1,1,1,3
5/4/20,47.48 by Childish Gambino,Childish Gambino,47.48,1,1,1,5
5/4/20,Age of Consent (New Order) by Cayetana,Cayetana,Age of Consent (New Order),1,1,1,5
5/4/20,Another Lover by Little Dragon,Little Dragon,Another Lover,1,1,1,3
5/4/20,Arm Drawing by Mychael Danna,Mychael Danna,Arm Drawing,1,1,1,4
5/4/20,Bookstore - Score by Jon Brion,Jon Brion,Bookstore - Score,1,1,1,9
5/4/20,Can't Believe The Way We Flow by James Blake,James Blake,Can't Believe The Way We Flow,1,1,1,3
4/4/20,Care by Sonder,Sonder,Care,1,1,1,5
5/4/20,Champagne Coast by Blood Orange,Blood Orange,Champagne Coast,1,1,1,3
4/4/20,Circles by Mac Miller,Mac Miller,Circles,1,1,1,5
5/4/20,Come Back to Earth by Mac Miller,Mac Miller,Come Back to Earth,1,1,1,8
5/4/20,Crystalfilm by Little Dragon,Little Dragon,Crystalfilm,1,1,1,5
5/4/20,Everybody's Got To Learn Sometime - Exclusive Recording by Beck,Beck,Everybody's Got To Learn Sometime - Exclusive Recording,1,1,1,6
5/4/20,Fair Chance by Thundercat,Thundercat,Fair Chance,1,1,1,3
5/4/20,First Times by Ludwig Goransson,Ludwig Goransson,First Times,1,1,1,4
5/4/20,Friedrich Dances with Jo by Alexandre Desplat,Alexandre Desplat,Friedrich Dances with Jo,1,1,1,9
5/4/20,Golden by Harry Styles,Harry Styles,Golden,1,1,1,7
5/4/20,Hardest to Love by The Weeknd,The Weeknd,Hardest to Love,1,1,1,4
3/4/20,Hide Out by Mahalia,Mahalia,Hide Out,1,1,1,4
5/4/20,How Can You Mend a Broken Heart by Al Green,Al Green,How Can You Mend a Broken Heart,1,1,1,4
5/4/20,I Feel Alive by Tops,Tops,I Feel Alive,1,1,1,5
5/4/20,Kyiv by Tom Misch,Tom Misch,Kyiv,1,1,1,8
5/4/20,Laurie by Alexandre Desplat,Alexandre Desplat,Laurie,1,1,1,8
5/4/20,Mecca by Wild Beasts,Wild Beasts,Mecca,1,1,1,5
5/4/20,Mind Fields by No Vacation,No Vacation,Mind Fields,1,1,1,4
5/4/20,Moon by Kid Francescoli,Kid Francescoli,Moon,1,1,1,3
5/4/20,Oh Honey by Delegation,Delegation,Oh Honey,1,1,1,5
5/4/20,"Out of Nothing, Everything by Dan Romer",Dan Romer,"Out of Nothing, Everything",1,1,1,3
5/4/20,Phone Call - Score by Jon Brion,Jon Brion,Phone Call - Score,1,1,1,8
2/4/20,Run Like Hell by Pink Floyd,Pink Floyd,Run Like Hell,1,1,1,3
5/4/20,Streets Of Your Town by Dope Lemon,Dope Lemon,Streets Of Your Town,1,1,1,3
5/4/20,Superstition Future by Tops,Tops,Superstition Future,1,1,1,3
5/4/20,The Beach by Alexandre Desplat,Alexandre Desplat,The Beach,1,1,1,5
5/4/20,The Bundt Diaries by Ludwig Goransson,Ludwig Goransson,The Bundt Diaries,1,1,1,5
5/4/20,The Night Before The Funeral by The Mary Onettes,The Mary Onettes,The Night Before The Funeral,1,1,1,7
5/4/20,The Palisades (feat. Christian Rich) by Childish Gambino,Childish Gambino,The Palisades (feat. Christian Rich),1,1,1,3
5/4/20,To Be So Lonely by Harry Styles,Harry Styles,To Be So Lonely,1,1,1,4
5/4/20,Water by Little Dragon,Little Dragon,Water,1,1,1,4
5/4/20,Where You Belong by Little Dragon,Little Dragon,Where You Belong,1,1,1,3
5/4/20,Yam Yam by No Vacation,No Vacation,Yam Yam,1,1,1,5
2/4/20,You're Not with Me by No Vacation,No Vacation,You're Not with Me,1,1,1,3
9/4/20,47.48 by Childish Gambino,Childish Gambino,47.48,1,2,2,3
12/4/20,Age of Consent - 2015 Remaster by New Order,New Order,Age of Consent - 2015 Remaster,1,2,2,3
10/4/20,Age of Consent (New Order) by Cayetana,Cayetana,Age of Consent (New Order),1,2,2,4
11/4/20,Amy by Alexandre Desplat,Alexandre Desplat,Amy,1,2,2,3
10/4/20,Angel by Loyle Carner,Loyle Carner,Angel,1,2,2,3
10/4/20,Another Lover by Little Dragon,Little Dragon,Another Lover,1,2,2,4
11/4/20,Bound by Ry x,Ry x,Bound,1,2,2,5
11/4/20,Brunch With Suki by Mark Barrott,Mark Barrott,Brunch With Suki,1,2,2,3
12/4/20,Cherry by Harry Styles,Harry Styles,Cherry,1,2,2,3
12/4/20,Cola Falls by The Mary Onettes,The Mary Onettes,Cola Falls,1,2,2,6
12/4/20,Crystalfilm by Little Dragon,Little Dragon,Crystalfilm,1,2,2,6
9/4/20,Damselfly by Loyle Carner,Loyle Carner,Damselfly,1,2,2,4
12/4/20,Easy Easy by King Krule,King Krule,Easy Easy,1,2,2,12
9/4/20,Fair Chance by Thundercat,Thundercat,Fair Chance,1,2,2,3
10/4/20,Feather by Little Dragon,Little Dragon,Feather,1,2,2,3
12/4/20,Golden by Harry Styles,Harry Styles,Golden,1,2,2,9
8/4/20,Hold On by Little Dragon,Little Dragon,Hold On,1,2,2,3
10/4/20,I Feel Alive by Tops,Tops,I Feel Alive,1,2,2,6
9/4/20,Kyiv by Tom Misch,Tom Misch,Kyiv,1,2,2,4
10/4/20,Mind Fields by No Vacation,No Vacation,Mind Fields,1,2,2,3
10/4/20,Oh Honey by Delegation,Delegation,Oh Honey,1,2,2,4
12/4/20,Pola by Jabberwocky,Jabberwocky,Pola,1,2,2,12
12/4/20,Rush by Little Dragon,Little Dragon,Rush,1,2,2,7
9/4/20,Say So by Doja Cat,Doja Cat,Say So,1,2,2,3
10/4/20,Superstition Future by Tops,Tops,Superstition Future,1,2,2,3
12/4/20,The Night Before The Funeral by The Mary Onettes,The Mary Onettes,The Night Before The Funeral,1,2,2,3
12/4/20,Tommib by Squarepusher,Squarepusher,Tommib,1,2,2,3
12/4/20,Tyrant (feat. Jorja Smith) by Kali Uchis,Kali Uchis,Tyrant (feat. Jorja Smith),1,2,2,4
10/4/20,Water by Little Dragon,Little Dragon,Water,1,2,2,6
10/4/20,Where You Belong by Little Dragon,Little Dragon,Where You Belong,1,2,2,4
19/4/20,Baby Blue by King Krule,King Krule,Baby Blue,1,3,3,5
19/4/20,Best to You by Blood Orange,Blood Orange,Best to You,1,3,3,3
19/4/20,Blue Blood by Blue Material,Blue Material,Blue Blood,1,3,3,4
